                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     25,                0.40299,                0.42715,                0.66822,                0.87075,                0.82383,                0.83333,                0.91838,                0.80334,                0.82383,                0.83333,                0.90742,                 0.7012,                0.65164,                 1.7282,                 1.2181,                 1.0765,              0.0014935,              0.0014935,              0.0014935
                     26,                0.48502,                0.61944,                0.75134,                0.94716,                  0.858,                0.87945,                  0.964,                0.79087,                0.78408,                0.82612,                0.84172,                0.70642,                0.62439,                 1.6108,                 1.2195,                 1.0699,               0.001502,               0.001502,               0.001502
                     27,                0.48284,                0.61509,                0.73498,                0.88892,                0.70339,                 0.9529,                 0.9485,                0.80694,                0.79944,                0.77778,                0.82251,                0.68672,                 0.5761,                 1.8602,                 1.4317,                 1.0626,              0.0014954,              0.0014954,              0.0014954
                     28,                0.52063,                0.69047,                0.83612,                0.95492,                0.76174,                0.71257,                0.83625,                0.68153,                0.76174,                0.71257,                0.78881,                0.61354,                 0.8905,                  2.407,                 1.7062,                 1.3221,              0.0014888,              0.0014888,              0.0014888
                     29,                 0.4592,                0.48214,                0.66097,                 0.8803,                 0.8168,                0.71017,                0.82057,                0.65945,                 0.8168,                0.71017,                0.74086,                0.56987,                0.85429,                  2.915,                 1.7456,                 1.4189,              0.0014822,              0.0014822,              0.0014822
                     30,                0.51864,                0.52681,                0.74285,                0.93666,                0.55975,                0.77778,                0.71456,                0.53388,                0.78295,                0.61111,                0.64407,                0.49846,                0.92808,                 2.7584,                 2.1688,                 1.3157,              0.0014756,              0.0014756,              0.0014756
                     31,                0.46203,                0.44771,                0.65875,                 0.8939,                0.64993,                0.61111,                0.63941,                0.45382,                0.54965,                0.55556,                0.58212,                0.42698,                 1.2321,                 2.6495,                  2.387,                 1.5591,               0.001469,               0.001469,               0.001469
                     32,                 0.4758,                0.48866,                0.67231,                0.88929,                0.82028,                 0.6092,                0.68683,                0.43775,                0.82028,                 0.6092,                 0.6688,                0.42644,                  1.334,                 2.4213,                 2.2927,                 1.6327,              0.0014624,              0.0014624,              0.0014624
                     33,                0.44805,                0.50671,                0.68896,                0.89333,                0.73609,                0.70626,                0.70256,                0.54424,                0.73609,                0.70626,                0.68444,                0.51443,                 1.1845,                 2.1811,                 1.9343,                 1.4586,              0.0014558,              0.0014558,              0.0014558
                     34,                0.46154,                0.50878,                0.68146,                0.93702,                0.81263,                0.72222,                0.69116,                 0.5113,                0.91172,                0.77778,                0.75703,                0.57375,                 1.0291,                 2.2332,                 1.6873,                 1.3423,              0.0014492,              0.0014492,              0.0014492
                     35,                0.48119,                0.60041,                0.67675,                 0.9169,                0.64236,                0.72222,                0.66307,                 0.5319,                0.64236,                0.72222,                0.71353,                0.58705,                 0.8976,                 2.4828,                 1.5437,                  1.266,              0.0014426,              0.0014426,              0.0014426
                     36,                0.45369,                0.43948,                0.66804,                0.91784,                0.77981,                0.87341,                0.81753,                0.62587,                0.77981,                0.87341,                0.83464,                0.67762,                0.72309,                 1.4959,                 1.4281,                 1.1017,               0.001436,               0.001436,               0.001436
                     37,                 0.4348,                0.42363,                0.63058,                0.88221,                0.84873,                0.91473,                0.89864,                0.70628,                0.84873,                0.91473,                0.89864,                0.71065,                0.59958,                 1.3615,                 1.3487,                 1.0324,              0.0014294,              0.0014294,              0.0014294
                     38,                0.44251,                0.39294,                0.69878,                0.91041,                 0.8716,                0.88889,                0.93467,                0.73696,                 0.8716,                0.88889,                0.93467,                0.74705,                0.60719,                 1.3792,                 1.3893,                  1.046,              0.0014228,              0.0014228,              0.0014228
                     39,                0.46879,                0.42587,                0.70112,                0.93064,                0.87943,                0.94444,                0.97339,                0.83136,                0.87943,                0.94444,                0.97339,                0.74894,                0.56903,                 1.6892,                   1.31,                 1.0489,              0.0014161,              0.0014161,              0.0014161
                     40,                 0.4334,                0.47426,                0.66007,                0.91407,                0.94493,                0.93039,                0.94054,                0.79062,                0.94493,                0.93039,                0.93477,                0.74001,                0.56199,                 1.8219,                  1.374,                 1.0314,              0.0014095,              0.0014095,              0.0014095
                     41,                0.46582,                0.48648,                0.68378,                 0.9184,                0.87659,                0.94444,                0.93297,                0.77305,                0.87659,                0.94444,                0.93297,                0.73414,                0.54255,                 1.6359,                 1.1888,                 1.0629,              0.0014029,              0.0014029,              0.0014029
                     42,                0.42901,                0.43103,                0.63706,                 0.9096,                0.88491,                0.99159,                  0.951,                 0.7844,                0.88491,                0.99159,                  0.951,                0.77391,                0.48328,                 1.2152,                0.99835,                 1.0346,              0.0013963,              0.0013963,              0.0013963
                     43,                0.46512,                0.50985,                 0.6906,                0.93504,                  0.873,                0.88889,                0.95513,                0.77331,                  0.873,                0.88889,                0.95513,                0.73419,                0.51095,                 1.2408,                 1.0447,                 1.0293,              0.0013897,              0.0013897,              0.0013897
                     44,                0.42868,                0.50163,                0.66701,                0.91656,                0.94021,                0.93465,                 0.9795,                 0.7908,                0.94021,                0.93465,                 0.9795,                0.78901,                0.57558,                  1.591,                 1.0236,                 1.0803,              0.0013831,              0.0013831,              0.0013831
                     45,                0.53956,                0.65775,                0.71868,                0.98121,                0.96923,                0.93161,                  0.985,                0.79576,                0.96923,                0.93161,                  0.985,                 0.7707,                0.62087,                 1.6584,                0.91375,                 1.1406,              0.0013765,              0.0013765,              0.0013765
                     46,                0.47015,                0.44377,                0.63202,                 0.9006,                0.93434,                0.92318,                  0.985,                0.82215,                0.93434,                0.92318,                  0.985,                0.72862,                0.59603,                 1.8183,                0.90382,                 1.0811,              0.0013699,              0.0013699,              0.0013699
                     47,                0.37272,                0.40683,                0.56333,                0.89693,                0.90305,                0.98377,                  0.995,                0.82518,                0.90305,                0.98377,                  0.995,                0.77453,                0.53851,                 1.5044,                0.91153,                0.99884,              0.0013633,              0.0013633,              0.0013633
                     48,                0.39379,                0.40567,                0.66506,                0.89895,                0.90496,                0.98095,                  0.995,                0.78072,                0.77685,                0.99337,                0.95437,                0.70012,                0.56129,                 1.5579,                0.92302,                 1.0345,              0.0013567,              0.0013567,              0.0013567
                     49,                 0.3655,                0.48664,                0.55114,                0.88232,                0.91095,                0.98433,                  0.995,                0.77899,                0.86379,                0.88889,                 0.9565,                0.76647,                0.55533,                  1.611,                0.91837,                 1.0624,              0.0013501,              0.0013501,              0.0013501
                     50,                0.41854,                0.44054,                0.70888,                0.93373,                0.91557,                      1,                  0.995,                0.79589,                0.94108,                0.92858,                0.97808,                0.79286,                0.56558,                 1.7308,                0.90958,                 1.0897,              0.0013435,              0.0013435,              0.0013435
                     51,                0.41918,                0.37853,                 0.7371,                0.90936,                0.88804,                0.94444,                 0.9895,                0.83505,                0.93256,                0.92972,                0.97536,                 0.7923,                 0.5252,                 1.4343,                0.87933,                 1.0272,              0.0013369,              0.0013369,              0.0013369
                     52,                0.41906,                 0.5195,                0.62907,                0.88824,                 0.8192,                      1,                 0.9495,                0.81775,                 0.8192,                      1,                 0.9495,                0.76803,                0.48619,                 1.2898,                0.89144,                0.98831,              0.0013303,              0.0013303,              0.0013303
                     53,                0.42938,                0.44198,                0.58987,                0.88373,                0.89747,                0.94381,                0.97025,                0.84772,                0.89747,                0.94381,                0.97025,                0.78608,                0.44189,                 1.3055,                0.91184,                0.95673,              0.0013237,              0.0013237,              0.0013237
                     54,                0.41149,                 0.4245,                0.58881,                0.89303,                0.89056,                0.94444,                 0.9675,                0.84175,                0.89056,                0.94444,                 0.9675,                 0.7994,                0.43739,                 1.2597,                0.97959,                0.94245,              0.0013171,              0.0013171,              0.0013171
                     55,                0.39128,                0.44781,                0.55477,                0.87258,                0.84872,                0.98394,                   0.94,                0.81727,                0.84872,                0.98394,                   0.94,                0.73622,                0.49453,                 1.2851,                 1.0002,                 0.9615,              0.0013105,              0.0013105,              0.0013105
                     56,                0.36692,                0.40037,                0.55641,                0.86713,                 0.7785,                0.94444,                0.87933,                0.76703,                 0.7785,                0.94444,                0.87933,                0.74234,                0.52381,                 1.2732,                  1.021,                 0.9755,              0.0013039,              0.0013039,              0.0013039
                     57,                0.42071,                0.39585,                0.57209,                  0.889,                0.86328,                0.93377,                0.92552,                0.83997,                0.86328,                0.93377,                0.92552,                0.75229,                0.47316,                 1.3259,                0.86802,                0.96881,              0.0012973,              0.0012973,              0.0012973
                     58,                0.37825,                0.37764,                0.60558,                0.88003,                 0.8099,                0.94444,                0.93961,                0.83963,                 0.8099,                0.94444,                0.93961,                0.71448,                0.52978,                 1.4512,                0.88925,                 1.0152,              0.0012907,              0.0012907,              0.0012907
